"Name.i"	"Name.j"	"Source_patch"	"Target_patch"	"Sex.i"	"Sex.j"	"Fij"	"Management"	"Roads"	"Resistance_based_distance"	"Euclidean_distance"	"Landscape_resistance"	"Landscape_connectivity"
"AE100"	"UGLT142"	100	705	"M"	"M"	-0.180001	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT143"	100	705	"M"	"F"	-0.042558	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT144"	100	705	"M"	"F"	-0.379587	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT145"	100	705	"M"	"F"	-0.081678	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT146"	100	705	"M"	"M"	-0.266485	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT147"	100	705	"M"	"M"	-0.076799	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT148"	100	705	"M"	"M"	0.0107	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT149"	100	705	"M"	"M"	0.055373	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT150"	100	705	"M"	"F"	-0.158289	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT151"	100	700	"M"	"M"	-0.239743	"23"	"1"	79079.5	48996.7348401911	519.45	94.3242561174148
"AE100"	"UGLT152"	100	705	"M"	"M"	-0.016187	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT153"	100	705	"M"	"F"	-0.19647	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT154"	100	700	"M"	"F"	-0.076726	"23"	"1"	79079.5	48996.7348401911	519.45	94.3242561174148
"AE100"	"UGLT155"	100	705	"M"	"F"	-0.040488	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT156"	100	705	"M"	"M"	-0.203593	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT157"	100	705	"M"	"M"	-0.012333	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT158"	100	705	"M"	"M"	-0.21166	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT159"	100	705	"M"	"M"	-0.227659	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT160"	100	705	"M"	"F"	-0.213326	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT161"	100	705	"M"	"M"	-0.125403	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT162"	100	705	"M"	"F"	-0.108976	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT163"	100	705	"M"	"M"	-0.038669	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT164"	100	705	"M"	"F"	-0.200369	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
